이름,선거구명1,선거구명2,종류,회,기호,남여,정당,연령,직업,여당평가,당선여부,득표율,지역구분
윤칠선,경기,양평군,구시군의장선거,5,3,남,rem,55,,47.25,False,-0.5749301434905849,2
정진구,경기,가평군,구시군의장선거,5,1,남,con,54,정당인,47.25,False,,2
이수환,경기,가평군,구시군의장선거,5,3,남,rem,65,,47.25,False,-0.10286459423155034,2
이진용,경기,가평군,구시군의장선거,5,3,남,rem,52,,47.25,True,4.595119850134589,2
이광준,강원,춘천시,구시군의장선거,5,1,남,con,54,,47.25,True,,1
변지량,강원,춘천시,구시군의장선거,5,2,남,rev,51,정당인,47.25,False,0.9375861008945428,1
류종수,강원,춘천시,구시군의장선거,5,3,남,con,67,정당인,47.25,False,,1
유현규,강원,춘천시,구시군의장선거,5,3,남,rev,39,,47.25,,-2.933317957008554,1
심재학,강원,춘천시,구시군의장선거,5,,남,rem,47,정당인,47.25,False,,1
최동용,강원,춘천시,구시군의장선거,5,3,남,rem,59,,47.25,False,,1
원경묵,강원,,구시군의장선거,5,1,남,,51,,47.25,False,,3
원창묵,강원,원주시,구시군의장선거,5,2,남,rev,49,,47.25,True,4.595119850134589,3
김은수,강원,,구시군의장선거,5,3,남,rev,46,,47.25,False,-1.9508458192195888,3
김기열,강원,원주시,구시군의장선거,5,3,남,rem,67,,,False,-0.4220981952132751,3
최명희,강원,강릉시,구시군의장선거,,1,남,con,55,,47.25,True,,
박종덕,강원,강릉시,구시군의장선거,5,3,남,rem,61,,47.25,False,-1.0629957186029158,1
,강원,동해시,구시군의장선거,5,1,남,con,62,,47.25,True,,1
한기선,강원,동해시,구시군의장선거,5,3,남,rem,62,,47.25,,0.042783260164867935,1
전억찬,강원,동해시,구시군의장선거,5,,남,rem,60,,47.25,False,,1
,강원,삼척시,구시군의장선거,5,1,남,con,54,정당인,47.25,False,,
김대수,강원,삼척시,구시군의장선거,5,3,남,rem,68,,47.25,True,4.595119850134589,1
김연식,강원,태백시,구시군의장선거,5,1,남,con,42,,47.25,True,,1
박종기,강원,태백시,구시군의장선거,5,,남,,62,,47.25,False,,1
김영규,강원,태백시,구시군의장선거,5,3,남,rem,64,,47.25,False,-1.2235826393001612,1
,강원,태백시,구시군의장선거,5,3,남,rem,55,,47.25,False,0.31480153516958365,1
유창식,강원,정선군,구시군의장선거,5,1,남,con,56,,47.25,False,,1
최승준,강원,정선군,구시군의장선거,5,2,남,rev,53,,47.25,True,4.595119850134589,1
채용생,강원,속초시,구시군의장선거,5,1,남,con,56,,47.25,True,,1
